0,instantaneous_scfh,instantaneous_kgh,instantaneous_scfh_CH4,mole_frac,moving_kgh,moving_scfh,moving_scfh_CH4
2021-10-20 17:43:28+00:00,0.0,0.0,0.0,0.962,,,
2021-10-20 17:43:29+00:00,0.0,0.0,0.0,0.962,,,
2021-10-20 17:43:30+00:00,0.0,0.0,0.0,0.962,,,
2021-10-20 17:43:31+00:00,0.0,0.0,0.0,0.962,,,
2021-10-20 17:43:32+00:00,0.0,0.0,0.0,0.962,,,
2021-10-20 17:43:33+00:00,0.0,0.0,0.0,0.962,,,
2021-10-20 17:43:34+00:00,0.0,0.0,0.0,0.962,,,
2021-10-20 17:43:35+00:00,0.0,0.0,0.0,0.962,,,
2021-10-20 17:43:36+00:00,0.0,0.0,0.0,0.962,,,
2021-10-20 17:43:37+00:00,0.0,0.0,0.0,0.962,,,
2021-10-20 17:43:38+00:00,546.2983439446648,10.077840000000002,525.5390068747676,0.962,,,
2021-10-20 17:43:39+00:00,536.9117073997843,9.904680000000003,516.5090625185925,0.962,,,
2021-10-20 17:43:40+00:00,541.4196347217539,9.987840000000002,520.8456886023273,0.962,,,
2021-10-20 17:43:41+00:00,545.1079388942745,10.055880000000002,524.3938372162921,0.962,,,
2021-10-20 17:43:42+00:00,547.2350561154636,10.095120000000001,526.440123983076,0.962,,,
2021-10-20 17:43:43+00:00,551.7234686005417,10.177920000000002,530.757976793721,0.962,,,
2021-10-20 17:43:44+00:00,553.889615495514,10.217880000000003,532.8418101066844,0.962,,,
2021-10-20 17:43:45+00:00,556.1143069011614,10.258920000000002,534.9819632389173,0.962,,,
2021-10-20 17:43:46+00:00,557.4803454835765,10.284120000000003,536.2960923552006,0.962,,,
2021-10-20 17:43:47+00:00,558.8658989028831,10.309680000000004,537.6289947445736,0.962,,,
2021-10-20 17:43:48+00:00,559.5098885203074,10.321560000000003,538.2485127565357,0.962,,,
2021-10-20 17:43:49+00:00,560.3295116697564,10.336680000000003,539.0369902263056,0.962,,,
2021-10-20 17:43:50+00:00,561.0710754716389,10.350360000000004,539.7503746037166,0.962,,,
2021-10-20 17:43:51+00:00,561.890698621088,10.365480000000005,540.5388520734866,0.962,,,
2021-10-20 17:43:52+00:00,562.4371140540538,10.375560000000002,541.0645037199997,0.962,,,
2021-10-20 17:43:53+00:00,562.8664404656699,10.383479999999999,541.4775157279745,0.962,,,
2021-10-20 17:43:54+00:00,563.0811036714781,10.387440000000003,541.6840217319619,0.962,,,
2021-10-20 17:43:55+00:00,563.1786778559363,10.38924,541.7778880974107,0.962,,,
2021-10-20 17:43:56+00:00,563.1201333452614,10.38816,541.7215682781414,0.962,,,
2021-10-20 17:43:57+00:00,562.9444998132366,10.384920000000003,541.5526088203336,0.962,,,
2021-10-20 17:43:58+00:00,580.3517343205824,10.70604,558.2983684164003,0.962,,,
2021-10-20 17:43:59+00:00,654.3324809768026,12.070800000000004,629.4678466996841,0.962,,,
2021-10-20 17:44:00+00:00,713.8137038225316,13.168080000000003,686.6887830772754,0.962,,,
2021-10-20 17:44:01+00:00,736.9973300498038,13.595760000000002,708.9914315079113,0.962,,,
2021-10-20 17:44:02+00:00,752.2189028252857,13.876560000000001,723.6345845179248,0.962,,,
2021-10-20 17:44:03+00:00,764.2010126767549,14.097600000000003,735.1613741950382,0.962,,,
2021-10-20 17:44:04+00:00,769.5090483112817,14.195520000000004,740.267704475453,0.962,,,
2021-10-20 17:44:05+00:00,773.8023124274432,14.274720000000002,744.3978245552004,0.962,,,
2021-10-20 17:44:06+00:00,778.466358444546,14.360760000000003,748.8846368236533,0.962,,,
2021-10-20 17:44:07+00:00,781.256980120051,14.412240000000002,751.569214875489,0.962,,,
2021-10-20 17:44:08+00:00,783.5207011994816,14.454,753.7469145539012,0.962,,,
2021-10-20 17:44:09+00:00,786.1552041798535,14.502600000000001,756.281306421019,0.962,,,
2021-10-20 17:44:10+00:00,787.9115395001013,14.535,757.9709009990975,0.962,,,
2021-10-20 17:44:11+00:00,789.4727264514329,14.563800000000004,759.4727628462784,0.962,,,
2021-10-20 17:44:12+00:00,791.2876062823558,14.597280000000005,761.2186772436263,0.962,,,
2021-10-20 17:44:13+00:00,792.4194668220711,14.618160000000003,762.3075270828323,0.962,,,
2021-10-20 17:44:14+00:00,793.4342383404365,14.636880000000001,763.2837372834999,0.962,,,
2021-10-20 17:44:15+00:00,794.5075543694769,14.656680000000003,764.3162673034368,0.962,,,
2021-10-20 17:44:16+00:00,795.1710588237928,14.668920000000002,764.9545585884887,0.962,,,
2021-10-20 17:44:17+00:00,795.7760187674337,14.680080000000002,765.5365300542712,0.962,,,
2021-10-20 17:44:18+00:00,796.1468006683749,14.686920000000002,765.8932222429767,0.962,,,
2021-10-20 17:44:19+00:00,796.4395232217496,14.69232,766.1748213393231,0.962,,,
2021-10-20 17:44:20+00:00,796.6737012644493,14.69664,766.4001006164002,0.962,,,
2021-10-20 17:44:21+00:00,796.8688496333657,14.700240000000003,766.5878333472978,0.962,,,
2021-10-20 17:44:22+00:00,796.966423817824,14.702040000000004,766.6816997127466,0.962,,,
2021-10-20 17:44:23+00:00,835.8985234166526,15.420240000000005,804.1343795268198,0.962,,,
2021-10-20 17:44:24+00:00,945.4157880525551,17.44056,909.4899881065579,0.962,,,
2021-10-20 17:44:25+00:00,1001.2672512364386,18.470880000000005,963.2190956894539,0.962,,,
2021-10-20 17:44:26+00:00,1031.222525865111,19.02348,992.0360698822368,0.962,,,
2021-10-20 17:44:27+00:00,1049.7616209121722,19.365480000000005,1009.8706793175097,0.962,,,
2021-10-20 17:44:28+00:00,1058.6018420240869,19.528560000000006,1018.3749720271716,0.962,,,
2021-10-20 17:44:29+00:00,1065.4125200992703,19.654200000000003,1024.926844335498,0.962,,,
2021-10-20 17:44:30+00:00,1071.949990457971,19.774800000000006,1031.215890820568,0.962,,,
2021-10-20 17:44:31+00:00,1075.7944133256244,19.845720000000004,1034.9142256192506,0.962,,,
2021-10-20 17:44:32+00:00,1079.209509781662,19.90872,1038.1995484099589,0.962,,,
2021-10-20 17:44:33+00:00,1083.0149029755326,19.97892,1041.8603366624623,0.962,,,
2021-10-20 17:44:34+00:00,1085.4152279132047,20.023200000000003,1044.169449252503,0.962,,,
2021-10-20 17:44:35+00:00,1088.693720511001,20.083680000000005,1047.323359131583,0.962,,,
2021-10-20 17:44:36+00:00,1089.8646107244997,20.10528000000001,1048.4497555169687,0.962,,,
2021-10-20 17:44:37+00:00,1091.2891938175894,20.131560000000007,1049.820204452521,0.962,,,
