0,instantaneous_scfh,instantaneous_kgh,instantaneous_scfh_CH4,mole_frac,moving_kgh,moving_scfh,moving_scfh_CH4
2021-10-19 17:45:23+00:00,0,0,0,0.962,,,
2021-10-19 17:45:24+00:00,0,0,0,0.962,,,
2021-10-19 17:45:25+00:00,0,0,0,0.962,,,
2021-10-19 17:45:26+00:00,0,0,0,0.962,,,
2021-10-19 17:45:27+00:00,0,0,0,0.962,,,
2021-10-19 17:45:28+00:00,0,0,0,0.962,,,
2021-10-19 17:45:29+00:00,0,0,0,0.962,,,
2021-10-19 17:45:30+00:00,0,0,0,0.962,,,
2021-10-19 17:45:31+00:00,0,0,0,0.962,,,
2021-10-19 17:45:32+00:00,0,0,0,0.962,,,
2021-10-19 17:45:33+00:00,0,0,0,0.962,,,
2021-10-19 17:45:34+00:00,0,0,0,0.962,,,
2021-10-19 17:45:35+00:00,0,0,0,0.962,,,
2021-10-19 17:45:36+00:00,0,0,0,0.962,,,
2021-10-19 17:45:37+00:00,0,0,0,0.962,,,
2021-10-19 17:45:38+00:00,0,0,0,0.962,,,
2021-10-19 17:45:39+00:00,0,0,0,0.962,,,
2021-10-19 17:45:40+00:00,0,0,0,0.962,,,
2021-10-19 17:45:41+00:00,0,0,0,0.962,,,
2021-10-19 17:45:42+00:00,0,0,0,0.962,,,
2021-10-19 17:45:43+00:00,0,0,0,0.962,,,
2021-10-19 17:45:44+00:00,0,0,0,0.962,,,
2021-10-19 17:45:45+00:00,0,0,0,0.962,,,
2021-10-19 17:45:46+00:00,0,0,0,0.962,,,
2021-10-19 17:45:47+00:00,0,0,0,0.962,,,
2021-10-19 17:45:48+00:00,0,0,0,0.962,,,
2021-10-19 17:45:49+00:00,0,0,0,0.962,,,
2021-10-19 17:45:50+00:00,0,0,0,0.962,,,
2021-10-19 17:45:51+00:00,0,0,0,0.962,,,
2021-10-19 17:45:52+00:00,0,0,0,0.962,,,
2021-10-19 17:45:53+00:00,0,0,0,0.962,,,
2021-10-19 17:45:54+00:00,0,0,0,0.962,,,
2021-10-19 17:45:55+00:00,0,0,0,0.962,,,
2021-10-19 17:45:56+00:00,0,0,0,0.962,,,
2021-10-19 17:45:57+00:00,0,0,0,0.962,,,
2021-10-19 17:45:58+00:00,0,0,0,0.962,,,
2021-10-19 17:45:59+00:00,0,0,0,0.962,,,
2021-10-19 17:46:00+00:00,0,0,0,0.962,,,
2021-10-19 17:46:01+00:00,0,0,0,0.962,,,
2021-10-19 17:46:02+00:00,0,0,0,0.962,,,
2021-10-19 17:46:03+00:00,0,0,0,0.962,,,
2021-10-19 17:46:04+00:00,0,0,0,0.962,,,
2021-10-19 17:46:05+00:00,16062.85,296.3194636,15452.4617,0.962,,,
2021-10-19 17:46:06+00:00,66134.13,1220.009521,63621.03306,0.962,,,
2021-10-19 17:46:07+00:00,102806.7,1896.526843,98900.0454,0.962,,,
2021-10-19 17:46:08+00:00,118129.6,2179.196077,113640.6752,0.962,,,
2021-10-19 17:46:09+00:00,136467.1,2517.477152,131281.3502,0.962,,,
2021-10-19 17:46:10+00:00,141655.1,2613.182794,136272.2062,0.962,,,
2021-10-19 17:46:11+00:00,146924.2,2710.384529,141341.0804,0.962,,,
2021-10-19 17:46:12+00:00,150101,2768.988555,144397.162,0.962,,,
2021-10-19 17:46:13+00:00,152808.3,2818.931478,147001.5846,0.962,,,
2021-10-19 17:46:14+00:00,155088.3,2860.991783,149194.9446,0.962,,,
2021-10-19 17:46:15+00:00,153513.3,2831.936967,147679.7946,0.962,,,
2021-10-19 17:46:16+00:00,152351.4,2810.502814,146562.0468,0.962,,,
2021-10-19 17:46:17+00:00,171015.5,3154.808843,164516.911,0.962,,,
2021-10-19 17:46:18+00:00,204259,3768.068389,196497.158,0.962,,,
2021-10-19 17:46:19+00:00,215664.3,3978.467687,207469.0566,0.962,,,
