0,instantaneous_scfh,instantaneous_kgh,instantaneous_scfh_CH4,mole_frac,moving_kgh,moving_scfh,moving_scfh_CH4
2021-10-18 16:55:46+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:47+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:48+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:49+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:50+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:51+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:52+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:53+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:54+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:55+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:56+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:57+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:58+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:55:59+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:00+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:01+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:02+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:03+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:04+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:05+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:06+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:07+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:08+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:09+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:10+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:11+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:12+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:13+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:14+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:15+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:16+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:17+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:18+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:19+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:20+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:21+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:22+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:23+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:24+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:25+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:26+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:27+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:28+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:29+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:30+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:31+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:32+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:33+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:34+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:35+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:36+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:37+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:38+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:39+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:40+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:41+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:42+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:43+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:44+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:45+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:46+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:47+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:48+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:49+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:50+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:51+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:52+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:53+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:54+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:55+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:56+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:57+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:58+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:56:59+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:00+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:01+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:02+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:03+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:04+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:05+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:06+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:07+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:08+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:09+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:10+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:11+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:12+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:13+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:14+00:00,0.0,0.0,0.0,0.962,,,
2021-10-18 16:57:15+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:16+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:17+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:18+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:19+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:20+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:21+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:22+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:23+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:24+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:25+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:26+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:27+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:28+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:29+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:30+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:31+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:32+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:33+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:34+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:35+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:36+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:37+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
2021-10-18 16:57:38+00:00,0.0,0.0,0.0,0.962,0.0,0.0,0.0
