0,instantaneous_scfh,instantaneous_kgh,instantaneous_scfh_CH4,mole_frac,moving_kgh,moving_scfh,moving_scfh_CH4
2021-10-22 16:38:09+00:00,-124.4,-2.29486929604712,-119.6728,0.962,,,
2021-10-22 16:38:10+00:00,-124.7,-2.3004035467610597,-119.9614,0.962,,,
2021-10-22 16:38:11+00:00,-125.6,-2.31700629890288,-120.82719999999999,0.962,,,
2021-10-22 16:38:12+00:00,-125.2,-2.3096272979509602,-120.44239999999999,0.962,,,
2021-10-22 16:38:13+00:00,-127.0,-2.3428328022345997,-122.17399999999999,0.962,,,
2021-10-22 16:38:14+00:00,-124.4,-2.29486929604712,-119.6728,0.962,,,
2021-10-22 16:38:15+00:00,-124.3,-2.2930245458091396,-119.5766,0.962,,,
2021-10-22 16:38:16+00:00,-121.8,-2.24690578985964,-117.1716,0.962,,,
2021-10-22 16:38:17+00:00,-121.7,-2.24506103962166,-117.0754,0.962,,,
2021-10-22 16:38:18+00:00,-124.9,-2.30409304723702,-120.1538,0.962,,,
2021-10-22 16:38:19+00:00,-123.3,-2.2745770434293395,-118.6146,0.962,,,
2021-10-22 16:38:20+00:00,-123.7,-2.28195604438126,-118.9994,0.962,,,
2021-10-22 16:38:21+00:00,-124.0,-2.2874902950952,-119.288,0.962,,,
2021-10-22 16:38:22+00:00,-122.8,-2.2653532922394404,-118.13359999999999,0.962,,,
2021-10-22 16:38:23+00:00,-123.5,-2.2782665439053,-118.807,0.962,,,
2021-10-22 16:38:24+00:00,-122.6,-2.26166379176348,-117.9412,0.962,,,
2021-10-22 16:38:25+00:00,-122.2,-2.25428479081156,-117.5564,0.962,,,
2021-10-22 16:38:26+00:00,-124.2,-2.2911797955711597,-119.4804,0.962,,,
2021-10-22 16:38:27+00:00,-123.8,-2.28380079461924,-119.09559999999999,0.962,,,
2021-10-22 16:38:28+00:00,-125.0,-2.3059377974749995,-120.25,0.962,,,
2021-10-22 16:38:29+00:00,-126.5,-2.3336090510447,-121.693,0.962,,,
2021-10-22 16:38:30+00:00,-123.1,-2.27088754295338,-118.42219999999999,0.962,,,
2021-10-22 16:38:31+00:00,-122.4,-2.2579742912875203,-117.7488,0.962,,,
2021-10-22 16:38:32+00:00,-122.1,-2.2524400405735796,-117.46019999999999,0.962,,,
2021-10-22 16:38:33+00:00,-123.8,-2.28380079461924,-119.09559999999999,0.962,,,
2021-10-22 16:38:34+00:00,-124.4,-2.29486929604712,-119.6728,0.962,,,
2021-10-22 16:38:35+00:00,-123.1,-2.27088754295338,-118.42219999999999,0.962,,,
2021-10-22 16:38:36+00:00,-123.0,-2.2690427927153998,-118.326,0.962,,,
2021-10-22 16:38:37+00:00,-123.7,-2.28195604438126,-118.9994,0.962,,,
2021-10-22 16:38:38+00:00,-123.7,-2.28195604438126,-118.9994,0.962,,,
2021-10-22 16:38:39+00:00,-124.6,-2.29855879652308,-119.86519999999999,0.962,,,
2021-10-22 16:38:40+00:00,-123.2,-2.27273229319136,-118.5184,0.962,,,
2021-10-22 16:38:41+00:00,-125.6,-2.31700629890288,-120.82719999999999,0.962,,,
2021-10-22 16:38:42+00:00,-125.9,-2.3225405496168205,-121.11580000000001,0.962,,,
2021-10-22 16:38:43+00:00,-123.8,-2.28380079461924,-119.09559999999999,0.962,,,
2021-10-22 16:38:44+00:00,-123.4,-2.2764217936673203,-118.7108,0.962,,,
2021-10-22 16:38:45+00:00,-123.6,-2.2801112941432797,-118.90319999999998,0.962,,,
2021-10-22 16:38:46+00:00,-124.8,-2.302248296999039,-120.0576,0.962,,,
2021-10-22 16:38:47+00:00,-125.6,-2.31700629890288,-120.82719999999999,0.962,,,
2021-10-22 16:38:48+00:00,-123.7,-2.28195604438126,-118.9994,0.962,,,
2021-10-22 16:38:49+00:00,-122.7,-2.26350854200146,-118.0374,0.962,,,
2021-10-22 16:38:50+00:00,-122.9,-2.26719804247742,-118.2298,0.962,,,
2021-10-22 16:38:51+00:00,-122.7,-2.26350854200146,-118.0374,0.962,,,
2021-10-22 16:38:52+00:00,-122.2,-2.25428479081156,-117.5564,0.962,,,
2021-10-22 16:38:53+00:00,-123.9,-2.28564554485722,-119.1918,0.962,,,
2021-10-22 16:38:54+00:00,-124.0,-2.2874902950952,-119.288,0.962,,,
2021-10-22 16:38:55+00:00,-123.9,-2.28564554485722,-119.1918,0.962,,,
2021-10-22 16:38:56+00:00,-122.8,-2.2653532922394404,-118.13359999999999,0.962,,,
2021-10-22 16:38:57+00:00,-123.5,-2.2782665439053,-118.807,0.962,,,
2021-10-22 16:38:58+00:00,-122.6,-2.26166379176348,-117.9412,0.962,,,
2021-10-22 16:38:59+00:00,-122.2,-2.25428479081156,-117.5564,0.962,,,
2021-10-22 16:39:00+00:00,-124.2,-2.2911797955711597,-119.4804,0.962,,,
2021-10-22 16:39:01+00:00,-124.0,-2.2874902950952,-119.288,0.962,,,
2021-10-22 16:39:02+00:00,-124.8,-2.302248296999039,-120.0576,0.962,,,
2021-10-22 16:39:03+00:00,-128.0,-2.3612803046143997,-123.136,0.962,,,
2021-10-22 16:39:04+00:00,-124.2,-2.2911797955711597,-119.4804,0.962,,,
2021-10-22 16:39:05+00:00,-124.1,-2.2893350453331798,-119.38419999999999,0.962,,,
2021-10-22 16:39:06+00:00,-125.2,-2.3096272979509602,-120.44239999999999,0.962,,,
2021-10-22 16:39:07+00:00,-123.9,-2.28564554485722,-119.1918,0.962,,,
2021-10-22 16:39:08+00:00,-122.8,-2.2653532922394404,-118.13359999999999,0.962,,,
2021-10-22 16:39:09+00:00,-122.9,-2.26719804247742,-118.2298,0.962,,,
2021-10-22 16:39:10+00:00,-125.5,-2.3151615486649,-120.731,0.962,,,
2021-10-22 16:39:11+00:00,-127.8,-2.35759080413844,-122.94359999999999,0.962,,,
2021-10-22 16:39:12+00:00,-126.9,-2.34098805199662,-122.0778,0.962,,,
2021-10-22 16:39:13+00:00,-126.6,-2.33545380128268,-121.7892,0.962,,,
2021-10-22 16:39:14+00:00,-127.4,-2.35021180318652,-122.5588,0.962,,,
2021-10-22 16:39:15+00:00,-126.2,-2.32807480033076,-121.4044,0.962,,,
2021-10-22 16:39:16+00:00,-124.0,-2.2874902950952,-119.288,0.962,,,
2021-10-22 16:39:17+00:00,-124.7,-2.3004035467610597,-119.9614,0.962,,,
2021-10-22 16:39:18+00:00,-124.9,-2.30409304723702,-120.1538,0.962,,,
2021-10-22 16:39:19+00:00,-125.2,-2.3096272979509602,-120.44239999999999,0.962,,,
2021-10-22 16:39:20+00:00,-124.9,-2.30409304723702,-120.1538,0.962,,,
2021-10-22 16:39:21+00:00,-126.3,-2.32991955056874,-121.50059999999999,0.962,,,
2021-10-22 16:39:22+00:00,-123.0,-2.2690427927153998,-118.326,0.962,,,
2021-10-22 16:39:23+00:00,-122.4,-2.2579742912875203,-117.7488,0.962,,,
2021-10-22 16:39:24+00:00,-123.9,-2.28564554485722,-119.1918,0.962,,,
2021-10-22 16:39:25+00:00,-122.5,-2.2598190415255,-117.845,0.962,,,
2021-10-22 16:39:26+00:00,-123.5,-2.2782665439053,-118.807,0.962,,,
2021-10-22 16:39:27+00:00,-122.8,-2.2653532922394404,-118.13359999999999,0.962,,,
2021-10-22 16:39:28+00:00,-124.1,-2.2893350453331798,-119.38419999999999,0.962,,,
2021-10-22 16:39:29+00:00,-123.6,-2.2801112941432797,-118.90319999999998,0.962,,,
2021-10-22 16:39:30+00:00,-124.6,-2.29855879652308,-119.86519999999999,0.962,,,
2021-10-22 16:39:31+00:00,-125.8,-2.32069579937884,-121.0196,0.962,,,
2021-10-22 16:39:32+00:00,-124.7,-2.3004035467610597,-119.9614,0.962,,,
2021-10-22 16:39:33+00:00,-124.2,-2.2911797955711597,-119.4804,0.962,,,
2021-10-22 16:39:34+00:00,-124.0,-2.2874902950952,-119.288,0.962,,,
2021-10-22 16:39:35+00:00,-124.8,-2.302248296999039,-120.0576,0.962,,,
2021-10-22 16:39:36+00:00,-126.6,-2.33545380128268,-121.7892,0.962,,,
2021-10-22 16:39:37+00:00,-125.2,-2.3096272979509602,-120.44239999999999,0.962,,,
2021-10-22 16:39:38+00:00,-124.9,-2.30409304723702,-120.1538,0.962,-2.2910978066716945,-124.19555555555554,-119.47612444444441
2021-10-22 16:39:39+00:00,-126.5,-2.3336090510447,-121.693,0.962,-2.29152824839389,-124.21888888888887,-119.49857111111108
2021-10-22 16:39:40+00:00,-124.1,-2.2893350453331798,-119.38419999999999,0.962,-2.291405265044691,-124.21222222222221,-119.49215777777773
2021-10-22 16:39:41+00:00,-123.6,-2.2801112941432797,-118.90319999999998,0.962,-2.290995320547362,-124.18999999999998,-119.47077999999998
2021-10-22 16:39:42+00:00,-124.8,-2.302248296999039,-120.0576,0.962,-2.2909133316478965,-124.18555555555552,-119.46650444444442
2021-10-22 16:39:43+00:00,-123.3,-2.2745770434293395,-118.6146,0.962,-2.290154934327838,-124.1444444444444,-119.42695555555552
2021-10-22 16:39:44+00:00,-126.3,-2.32991955056874,-121.50059999999999,0.962,-2.2905443816003004,-124.16555555555551,-119.44726444444441
2021-10-22 16:39:45+00:00,-125.3,-2.31147204818894,-120.53859999999999,0.962,-2.2907493538489647,-124.17666666666662,-119.4579533333333
2021-10-22 16:39:46+00:00,-122.5,-2.2598190415255,-117.845,0.962,-2.2908928344230297,-124.18444444444441,-119.46543555555552
2021-10-22 16:39:47+00:00,-122.3,-2.25612954104954,-117.65259999999999,0.962,-2.291015817772229,-124.19111111111106,-119.47184888888884
2021-10-22 16:39:48+00:00,-121.6,-2.2432162893836796,-116.97919999999999,0.962,-2.290339409351636,-124.1544444444444,-119.4365755555555
2021-10-22 16:39:49+00:00,-122.7,-2.26350854200146,-118.0374,0.962,-2.2902164260024374,-124.14777777777775,-119.43016222222215
2021-10-22 16:39:50+00:00,-124.1,-2.2893350453331798,-119.38419999999999,0.962,-2.2902984149019034,-124.15222222222219,-119.4344377777777
2021-10-22 16:39:51+00:00,-122.9,-2.26719804247742,-118.2298,0.962,-2.2900729454283724,-124.13999999999996,-119.42267999999991
2021-10-22 16:39:52+00:00,-124.1,-2.2893350453331798,-119.38419999999999,0.962,-2.290339409351636,-124.15444444444442,-119.43657555555548
2021-10-22 16:39:53+00:00,-123.6,-2.2801112941432797,-118.90319999999998,0.962,-2.290359906576503,-124.15555555555554,-119.43764444444437
2021-10-22 16:39:54+00:00,-126.8,-2.33914330175864,-121.98159999999999,0.962,-2.291220790020893,-124.20222222222219,-119.48253777777771
2021-10-22 16:39:55+00:00,-124.5,-2.2967140462851,-119.76899999999999,0.962,-2.2916922261928216,-124.22777777777773,-119.50712222222215
2021-10-22 16:39:56+00:00,-123.5,-2.2782665439053,-118.807,0.962,-2.291548745618756,-124.21999999999996,-119.49963999999994
2021-10-22 16:39:57+00:00,-125.4,-2.31331679842692,-120.6348,0.962,-2.291876701216619,-124.23777777777774,-119.51674222222215
