0,instantaneous_scfh,instantaneous_kgh,moving_kgh,moving_scfh
2021-11-03 16:26:11+00:00,-15.1,-0.278557286,-0.279316889,-15.14117647
2021-11-03 16:26:12+00:00,-15.1,-0.278557286,-0.279208374,-15.13529412
2021-11-03 16:26:13+00:00,-14.9,-0.274867785,-0.27888283,-15.11764706
2021-11-03 16:26:14+00:00,-15.1,-0.278557286,-0.278774315,-15.11176471
2021-11-03 16:26:15+00:00,-15,-0.276712536,-0.278665801,-15.10588235
2021-11-03 16:26:16+00:00,-15.2,-0.280402036,-0.278557286,-15.1
2021-11-03 16:26:17+00:00,-15.1,-0.278557286,-0.279208374,-15.13529412
2021-11-03 16:26:18+00:00,-15.2,-0.280402036,-0.279533918,-15.15294118
2021-11-03 16:26:19+00:00,-15.3,-0.282246786,-0.279859463,-15.17058824
2021-11-03 16:26:20+00:00,-15.3,-0.282246786,-0.279967977,-15.17647059
2021-11-03 16:26:21+00:00,-15.2,-0.280402036,-0.279859463,-15.17058824
2021-11-03 16:26:22+00:00,-15.4,-0.284091537,-0.279859463,-15.17058824
2021-11-03 16:26:23+00:00,-15.3,-0.282246786,-0.280076492,-15.18235294
2021-11-03 16:26:24+00:00,-15.1,-0.278557286,-0.279859463,-15.17058824
2021-11-03 16:26:25+00:00,-15.3,-0.282246786,-0.279859463,-15.17058824
2021-11-03 16:26:26+00:00,-15.4,-0.284091537,-0.279859463,-15.17058824
2021-11-03 16:26:27+00:00,-15.5,-0.285936287,-0.280510551,-15.20588235
2021-11-03 16:26:28+00:00,-16.4,-0.302539039,-0.281921242,-15.28235294
2021-11-03 16:26:29+00:00,-16.9,-0.31176279,-0.283874507,-15.38823529
2021-11-03 16:26:30+00:00,-16.6,-0.30622854,-0.285719257,-15.48823529
2021-11-03 16:26:31+00:00,-17.2,-0.317297041,-0.287998067,-15.61176471
2021-11-03 16:26:32+00:00,-17.2,-0.317297041,-0.29038539,-15.74117647
2021-11-03 16:26:33+00:00,-17,-0.31360754,-0.292338655,-15.84705882
2021-11-03 16:26:34+00:00,-16.4,-0.302539039,-0.293749347,-15.92352941
2021-11-03 16:26:35+00:00,-16.9,-0.31176279,-0.295594097,-16.02352941
2021-11-03 16:26:36+00:00,-16.2,-0.298849539,-0.296570729,-16.07647059
2021-11-03 16:26:37+00:00,-16.3,-0.300694289,-0.297655877,-16.13529412
