0,instantaneous_scfh,instantaneous_kgh,moving_kgh,moving_scfh
2021-11-04 16:40:50+00:00,-224.8,-4.170243654,-4.172294017,-224.9105263
2021-11-04 16:40:51+00:00,-224.4,-4.162823291,-4.171512926,-224.8684211
2021-11-04 16:40:52+00:00,-223.7,-4.149837657,-4.170536563,-224.8157895
2021-11-04 16:40:53+00:00,-224,-4.155402929,-4.169755472,-224.7736842
2021-11-04 16:40:54+00:00,-224.3,-4.160968201,-4.16819329,-224.6894737
2021-11-04 16:40:55+00:00,-224.2,-4.15911311,-4.166631109,-224.6052632
2021-11-04 16:40:56+00:00,-224.7,-4.168388563,-4.164287836,-224.4789474
2021-11-04 16:40:57+00:00,-224.8,-4.170243654,-4.158429656,-224.1631579
2021-11-04 16:40:58+00:00,-225.3,-4.179519106,-4.155891111,-224.0263158
2021-11-04 16:40:59+00:00,-226.1,-4.194359831,-4.155305292,-223.9947368
2021-11-04 16:41:00+00:00,-224.8,-4.170243654,-4.154914747,-223.9736842
2021-11-04 16:41:01+00:00,-223.5,-4.146127476,-4.153938384,-223.9210526
2021-11-04 16:41:02+00:00,-223.8,-4.151692748,-4.153450202,-223.8947368
2021-11-04 16:41:03+00:00,-224.4,-4.162823291,-4.155695838,-224.0157895
2021-11-04 16:41:04+00:00,-224.3,-4.160968201,-4.157941474,-224.1368421
2021-11-04 16:41:05+00:00,-224.6,-4.166533472,-4.160382382,-224.2684211
2021-11-04 16:41:06+00:00,-222.8,-4.133141842,-4.160675292,-224.2842105
2021-11-04 16:41:07+00:00,-221.6,-4.110880755,-4.158722565,-224.1789474
2021-11-04 16:41:08+00:00,-219.1,-4.06450349,-4.154621838,-223.9578947
2021-11-04 16:41:09+00:00,-220.1,-4.083054396,-4.15003293,-223.7105263
2021-11-04 16:41:10+00:00,-222.1,-4.120156207,-4.147787294,-223.5894737
2021-11-04 16:41:11+00:00,-222.5,-4.12757657,-4.146615658,-223.5263158
2021-11-04 16:41:12+00:00,-222.4,-4.125721479,-4.145053476,-223.4421053
2021-11-04 16:41:13+00:00,-222.7,-4.131286751,-4.143491294,-223.3578947
2021-11-04 16:41:14+00:00,-222.8,-4.133141842,-4.142124386,-223.2842105
2021-11-04 16:41:15+00:00,-220.6,-4.092329849,-4.138121295,-223.0684211
2021-11-04 16:41:16+00:00,-220.2,-4.084909486,-4.133630023,-222.8263158
2021-11-04 16:41:17+00:00,-221.1,-4.101605302,-4.129529297,-222.6052632
2021-11-04 16:41:18+00:00,-221.4,-4.107170573,-4.124940389,-222.3578947
2021-11-04 16:41:19+00:00,-224.1,-4.157258019,-4.124256934,-222.3210526
2021-11-04 16:41:20+00:00,-222.9,-4.134996932,-4.123671116,-222.2894737
2021-11-04 16:41:21+00:00,-224.9,-4.172098744,-4.124745116,-222.3473684
2021-11-04 16:41:22+00:00,-224.6,-4.166533472,-4.124940389,-222.3578947
2021-11-04 16:41:23+00:00,-223.8,-4.151692748,-4.124452207,-222.3315789
2021-11-04 16:41:24+00:00,-223.8,-4.151692748,-4.123671116,-222.2894737
2021-11-04 16:41:25+00:00,-224.6,-4.166533472,-4.12542857,-222.3842105
2021-11-04 16:41:26+00:00,-225.3,-4.179519106,-4.129041115,-222.5789474
2021-11-04 16:41:27+00:00,-224.5,-4.164678382,-4.134313478,-222.8631579
2021-11-04 16:41:28+00:00,-224.7,-4.168388563,-4.13880475,-223.1052632
2021-11-04 16:41:29+00:00,-224.5,-4.164678382,-4.141148022,-223.2315789
2021-11-04 16:41:30+00:00,-224.4,-4.162823291,-4.143003113,-223.3315789
2021-11-04 16:41:31+00:00,-224.1,-4.157258019,-4.144662931,-223.4210526
2021-11-04 16:41:32+00:00,-223.6,-4.147982566,-4.145541658,-223.4684211
2021-11-04 16:41:33+00:00,-223.9,-4.153547838,-4.146615658,-223.5263158
2021-11-04 16:41:34+00:00,-224.1,-4.157258019,-4.15003293,-223.7105263
2021-11-04 16:41:35+00:00,-223.5,-4.146127476,-4.153254929,-223.8842105
2021-11-04 16:41:36+00:00,-221.2,-4.103460392,-4.153352565,-223.8894737
2021-11-04 16:41:37+00:00,-220.9,-4.09789512,-4.152864384,-223.8631579
2021-11-04 16:41:38+00:00,-221.5,-4.109025664,-4.150325839,-223.7263158
2021-11-04 16:41:39+00:00,-220.4,-4.088619667,-4.14788493,-223.5947368
2021-11-04 16:41:40+00:00,-221.3,-4.105315483,-4.144370022,-223.4052632
2021-11-04 16:41:41+00:00,-221.2,-4.103460392,-4.141050386,-223.2263158
2021-11-04 16:41:42+00:00,-219,-4.062648399,-4.136363841,-222.9736842
2021-11-04 16:41:43+00:00,-219.8,-4.077489124,-4.132458387,-222.7631579
2021-11-04 16:41:44+00:00,-221,-4.099750211,-4.128943479,-222.5736842
2021-11-04 16:41:45+00:00,-219.3,-4.068213671,-4.123085298,-222.2578947
2021-11-04 16:41:46+00:00,-218.8,-4.058938218,-4.117520026,-221.9578947
2021-11-04 16:41:47+00:00,-219,-4.062648399,-4.111954754,-221.6578947
2021-11-04 16:41:48+00:00,-217.2,-4.029256768,-4.104827301,-221.2736842
2021-11-04 16:41:49+00:00,-218.4,-4.051517856,-4.09896912,-220.9578947
2021-11-04 16:41:50+00:00,-217.6,-4.036677131,-4.092622758,-220.6157895
2021-11-04 16:41:51+00:00,-218.6,-4.055228037,-4.08774094,-220.3526316
2021-11-04 16:41:52+00:00,-219.4,-4.070068761,-4.083347305,-220.1157895
2021-11-04 16:41:53+00:00,-217,-4.025546587,-4.076415124,-219.7421053
2021-11-04 16:41:54+00:00,-219.8,-4.077489124,-4.072802579,-219.5473684
